Cedula,Nombre,Edad,Correo,Telefono,DeclaraRenta,HaEstadoListaNegra,EsPrePensionado,PerteneceInsPublica,InstitucionPublica,TieneCondecoracion,TieneHijosInpec,TieneFamPolicia,EsElMayorEdad,ObservacionDisciplinaria,Semanas,CiudadNacimiento,CiudadResidencia,AlcanzoEdadRPM,Fondo,Estado
6100412530,Jaider Carlos Carrillo Cortés,24,stellamesa@example.org,3151263483,false,false,false,true,minsalud,false,false,true,false,true,370,Nuquí,Mahates,false,proteccion,aprobado
7526606539,Antonio Andrés Villegas,66,fguerrero@example.org,3082612398,true,false,false,true,minsalud,false,true,false,false,true,1174,Flandes,Vélez,true,colfondos,aprobado
4747504107,Enrique Jairo Lozano Acosta,37,augusto91@example.net,3098004876,true,false,false,false,mininterior,true,false,true,false,true,322,Quipile,Chipatá,false,extranjero,aprobado
7633573615,Rodrigo Edgar Hoyos,59,rbravo@example.com,3018265063,false,false,false,true,mininterior,false,false,false,true,true,190,Ancuya,Guapotá,false,proteccion,aprobado
4017980221,Yesid Alexander Bolívar Camargo,21,bguerra@example.org,3073648946,true,false,false,false,inpec,true,false,false,false,false,868,El Tambo,El Banco,false,extranjero,aprobado
8799490019,Didier Romero,51,alejandra47@example.org,3116117725,false,false,false,false,mininterior,true,true,true,false,true,146,Argelia,Clemencia,false,extranjero,aprobado
9155976576,Arley Sebastián Reyes Arteaga,39,moraleonardo@example.net,3124403879,true,false,false,true,mininterior,true,false,true,false,true,541,Pailitas,San Benito Abad,true,proteccion,aprobado
2063255973,Andrea Katherine Restrepo,43,ucalderon@example.org,3162734508,true,false,false,true,inpec,true,false,true,false,false,725,Flandes,San José del Palmar,false,oldmutual,aprobado
3950839924,Jorge Ramírez Rincón,59,andres89@example.com,3028694720,false,false,false,true,armada,true,true,true,false,false,536,Lérida,Pueblo Nuevo,true,oldmutual,aprobado
1618226319,Juan Muñoz,89,omar27@example.net,3098200281,false,false,false,true,mininterior,false,true,true,true,true,168,Nimaima,Tasco,false,oldmutual,aprobado
3477430999,Andrés Germán Portilla Pedraza,71,zrodriguez@example.org,3040887609,true,false,false,false,minsalud,true,true,false,true,true,434,Arauca,Nariño,false,porvenir,aprobado
4199729743,Nubia Medina,63,cristiancardenas@example.com,3103830082,false,false,false,false,inpec,true,false,false,true,true,65,San José de Pare,Yacuanquer,false,porvenir,aprobado
7292996097,Ana Morales Giraldo,78,alba80@example.org,3027984303,true,false,false,true,inpec,false,true,false,true,false,1274,Santiago,Covarachía,false,porvenir,aprobado
