cedula;embargado;inhabilitado
1163991067;False;False
1188978308;True;False
1941877273;False;True
1436780701;False;True
1825978704;False;True
1736181558;True;True
1111114680;False;True
1794717227;False;False
1505596462;True;False
1473805276;True;True
1671430796;False;True
1099865142;False;True
1728004723;False;True
1493671804;False;False
1573921280;True;True
1259469701;False;False
1426038177;True;False
1550306074;True;True
1836287593;False;True
1053579896;True;False
1059271316;True;False
1886577232;False;False
1615681647;True;True
1276023276;False;False
1498882815;False;False
1143177695;True;False
1123925814;False;True
1684359167;True;False
1597016897;True;False
1386742727;True;False
1055717733;True;True
1542116719;False;True
1962364808;False;False
1076171477;True;False
1425207894;False;True
1408689016;False;True
1510663898;False;False
1324035704;True;True
1067599488;False;True
1207564233;False;False
1556779194;False;True
1433874989;True;True
1649899965;False;False
1059954624;True;False
1819067263;False;False
1360523921;True;True
1780756025;True;True
1629760201;False;True
1438369814;False;True
1746830893;True;True
1421639084;True;False
1621795079;True;False
1508214077;False;True
1786048311;False;True
1039937713;True;True
1110000353;False;True
1743072189;True;True
1118277172;True;False
1283346008;False;True
1260237746;False;True
1163491576;False;False
1050896355;True;True
1711822449;True;False
1468475332;True;True
1754057773;True;True
1317614677;True;True
1805922074;True;False
1840055879;False;False
1804866977;True;True
1763496238;True;True
1154825329;False;False
1801557826;False;False
1423352564;True;True
1094959879;True;False
1962254008;False;False
1001593406;False;True
1202196935;True;True
1415724734;False;False
1485391512;False;False
1019874893;False;False
1558982706;True;True
1781969289;True;True
1096762925;False;True
1288644803;False;True
1552440455;False;True
1683919384;True;False
1008242665;True;True
1939628127;False;False
1952764060;False;True
1109278948;True;True
1880999898;False;True
1471902139;False;False
1684746062;False;True
1633395552;True;False
1562934885;True;True
1625246982;False;True
1921595466;True;True
1622273643;True;False
1592684576;True;True
1227826357;False;True
