cedula;nombre;edad;correo;telefono;declaraRenta;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanas;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
1094885867;Geraldine Henao Sánchez;63;dsanchez@example.org;3064993538;True;True;False;False;minsalud;False;False;False;False;False;44;Chalán;Puracé;True;colfondos;null
1000462299;Juan Castro;18;martinezyaneth@example.com;3041183281;False;True;True;True;inpec;True;False;False;False;False;653;San Francisco;San Miguel;True;porvenir;null
2142195060;Julieth Martínez Mendoza;59;tatiana00@example.org;3123020671;False;True;False;True;inpec;False;True;True;False;False;179;Tinjacá;La Ceja;False;proteccion;null
2592939981;Vanessa Arias;51;rubiomaria@example.net;3136087434;False;False;False;False;armada;False;True;True;True;True;421;Agua de Dios;Ovejas;True;porvenir;null
4545611340;Milena Elena Burbano Benavides;39;oruiz@example.org;3016516066;True;True;True;True;policia;True;True;False;True;True;498;Quinchía;La Ceja;False;proteccion;null
9831113676;Ciro Germán Correa Ochoa;90;josemena@example.net;3137251075;True;False;True;True;policia;True;True;True;True;False;34;Carepa;El Peñón;False;oldmutual;null
3532951126;Rosa Castro Perdomo;50;fernando69@example.org;3132951924;True;False;True;False;policia;True;False;True;False;False;992;Mirití - Paraná;Pivijay;False;extranjero;null
1581655449;José Willian Calderón;63;xcastillo@example.com;3187381217;True;True;True;True;minsalud;False;False;True;False;False;1003;Herrán;San Juan del Cesar;False;oldmutual;null
8547350157;José Nieto;72;leonardo85@example.net;3057544051;False;True;True;True;policia;True;False;True;False;True;1236;Norosí;Colombia;False;porvenir;null
5427461316;José Mesa Mora;38;garciacarlos@example.net;3094977912;False;False;False;False;mininterior;True;True;False;True;True;783;Quipile;Contadero;False;porvenir;null
2232751380;Ana Pineda;39;ricardobuitrago@example.com;3139881748;False;False;True;True;mininterior;True;False;True;False;True;694;Samacá;Timbiquí;False;oldmutual;null
7997473474;Mary Paula Suárez;29;trojas@example.org;3176637177;False;True;False;False;policia;True;True;False;True;False;90;Soracá;Calarcá;True;oldmutual;null
1584254206;Concepción Guerrero Montes;29;cardenasmarcela@example.net;3000804463;False;False;True;True;inpec;False;False;True;False;True;428;Tauramena;Barrancas;False;porvenir;null
3202471065;Andrés Mejía Rojas;52;franklinmunoz@example.org;3066736649;True;False;False;True;inpec;False;False;False;False;True;182;Chachagüí;Popayán;True;extranjero;null
6376502886;Luz Cindy Fuentes;56;penacarlos@example.com;3038177349;False;True;True;False;minsalud;False;True;True;True;False;800;Candelaria;Pitalito;True;proteccion;null
8678299878;Yadira Patricia Gallego Muñoz;22;jairoordonez@example.org;3085886105;True;True;False;True;inpec;True;True;True;False;False;809;Nechí;Venadillo;False;proteccion;null
6713507411;Ana Carmen Quintero;88;uarteaga@example.org;3170313419;True;True;True;True;mininterior;True;True;False;False;False;383;Cantagallo;Liborina;True;porvenir;null
8852864059;Camilo Ruiz Martínez;60;gonzalezelsa@example.net;3198419585;True;True;True;True;armada;True;False;False;False;True;547;Colosó;Los Santos;True;colfondos;null
5968643810;Sandra Silva Vera;71;yeferson04@example.org;3042166381;True;False;True;False;inpec;True;True;False;False;False;1254;El Espino;Paratebueno;True;oldmutual;null
8110315542;Franklin Portilla;29;apaez@example.net;3046068074;False;True;True;False;minsalud;False;False;True;False;False;221;Vigía del Fuerte;Retiro;False;porvenir;null
9214177780;Edison Rodríguez;23;janeth39@example.net;3123406951;True;True;True;True;armada;False;True;False;False;True;916;Urrao;La Unión;False;oldmutual;null
2255592411;María Candelaria Benítez Caicedo;46;jhon51@example.net;3051537011;False;False;True;False;minsalud;False;False;True;False;False;539;San Alberto;Puerto Colombia;True;extranjero;null
8033557203;Maira Lucía Martínez;77;riosrocio@example.com;3089307502;True;False;False;False;minsalud;False;True;False;False;False;1047;Cicuco;Unión Panamericana;True;porvenir;null
9133691400;Milena María Muñoz Rojas;34;jorgecastrillon@example.org;3097073599;False;False;False;False;policia;True;False;True;True;False;337;Leticia;Galapa;False;proteccion;null
1264137102;Mary Martha Villamizar;78;ricoconsuelo@example.com;3166225320;True;False;True;False;inpec;False;True;True;False;True;475;Sonsón;Güepsa;True;colfondos;null
6613892606;Nancy Quintero Arroyo;18;julio39@example.net;3030236871;True;True;False;True;policia;False;False;True;True;False;832;Tibaná;Cómbita;False;extranjero;null
6825414442;Patricia Zapata;88;guillermofuentes@example.net;3044624016;True;False;True;True;policia;True;True;False;False;True;653;Convención;Viracachá;True;oldmutual;null
4269761172;Lucy Claudia Jiménez;31;marioduque@example.com;3076527459;False;False;True;False;mininterior;True;False;True;True;True;1280;Puerto Berrío;Sincelejo;True;proteccion;null
8430826856;Paola Navarro;25;fernando75@example.org;3194852838;False;True;False;True;policia;True;True;True;True;True;319;Chaparral;Toledo;True;oldmutual;null
7422541658;Carmen Judith Amaya Castillo;85;andres24@example.org;3062092545;True;False;True;True;mininterior;False;True;False;True;False;976;Carurú;Saldaña;True;porvenir;null
1391403892;Mario Julián Gómez Arango;76;johanavasquez@example.com;3064993180;False;True;True;True;armada;True;False;True;True;False;67;Cartagena del Chairá;Barrancominas;True;oldmutual;null
3422813555;José Augusto Osorio Pérez;54;aperdomo@example.org;3033968125;False;False;False;True;armada;False;True;False;True;True;173;El Carmen de Atrato;San Bernardo;False;oldmutual;null
1903592323;David David Gutiérrez;36;hernanrengifo@example.org;3001881645;False;True;False;False;minsalud;False;True;False;True;False;210;Toca;Angelópolis;False;porvenir;null
3215886021;Maritza Ofelia Yepes;77;suarezleonel@example.net;3084232688;True;False;True;False;mininterior;False;True;True;False;False;1026;Andes;Nunchía;False;proteccion;null
8766078446;José Marín;76;yeimy37@example.net;3110146033;True;False;True;True;minsalud;False;False;True;False;True;1216;Granada;Líbano;False;oldmutual;null
3548900998;Jesús Caicedo;30;nel46@example.net;3125563532;True;True;False;False;policia;True;False;False;False;True;791;Bajo Baudó;Zapayán;True;porvenir;null
9917674590;Pablo Javier Pérez;66;umercado@example.com;3095585360;True;True;True;False;policia;True;True;False;True;True;109;La Pintada;Maní;True;extranjero;null
7378811265;Emilio Sánchez;30;dairomedina@example.org;3104928280;True;False;False;False;minsalud;True;True;True;True;True;1235;Simití;Machetá;True;porvenir;null
9012246640;Yesid Steven Sarmiento;77;mosquerayolanda@example.com;3018454490;False;False;False;True;inpec;True;False;False;False;False;805;Potosí;Pradera;False;extranjero;null
8164891965;Carolina María Córdoba Bautista;43;ujimenez@example.com;3050291721;False;False;False;False;policia;True;True;True;True;False;753;Floridablanca;Tierralta;True;porvenir;null
4410418433;Michael Correa;61;qsuarez@example.com;3050541453;True;True;True;False;inpec;False;False;True;True;False;382;Cogua;Prado;False;colfondos;null
8097481121;Adriana Dary Parra;60;domingoceballos@example.com;3020840932;False;False;True;False;minsalud;False;True;True;False;True;379;Ocamonte;Guapotá;True;porvenir;null
2336592928;Lucía Marín;71;rocio09@example.org;3082408445;False;True;True;True;minsalud;False;True;False;True;True;345;San Felipe;Puerto Asís;False;proteccion;null
2067959085;Lucía Quintero Monsalve;76;carvajaljuliana@example.com;3020863815;True;True;False;False;minsalud;False;True;True;True;False;273;Suesca;Sibundoy;False;porvenir;null
7728761805;Paola Bustamante;31;dgarzon@example.net;3014995115;False;True;True;False;mininterior;False;True;False;True;True;1162;Trujillo;Neira;True;proteccion;null
6675480643;Natalia Karina Orozco Carvajal;20;duartekelly@example.org;3029135409;False;True;False;False;armada;False;False;True;False;False;825;Pensilvania;Momil;True;oldmutual;null
4480491738;Gregorio García;80;ogomez@example.net;3095438758;False;False;False;False;minsalud;False;True;True;True;True;1294;Bugalagrande;El Santuario;False;proteccion;null
6982744390;Myriam María Morales Barrera;55;correaleticia@example.com;3029260888;True;False;True;True;policia;True;True;False;True;True;357;Valle de San Juan;Coper;True;oldmutual;null
8026750044;Luis Barrera Manrique;66;felixsanchez@example.org;3162495784;True;True;False;True;mininterior;True;False;False;False;False;509;El Calvario;Guacarí;False;proteccion;null
5497139006;Jorge Eduardo Barragán;76;garciadavid@example.org;3089573889;False;True;True;False;armada;True;True;False;True;True;845;Santiago de Tolú;El Playón;True;oldmutual;null
9543947157;Enrique Morales;90;xrodriguez@example.net;3071652222;False;False;True;False;inpec;False;False;True;True;True;1126;Lloró;Yacuanquer;False;proteccion;null
